tier_1,tier_2,tier_3,label_slug,lnf_codes,lnf_descriptions,label_slugs_orig
Vegetation,AnnualCrop,BroadBeans,Vegetation_AnnualCrop_BroadBeans,[536],['Bohnen und Wicken zur Körnergewinnung (z.B. Ackerbohnen) '],[nan]
Vegetation,AnnualCrop,Buckwheat,Vegetation_AnnualCrop_Buckwheat,[548],['Buchweizen'],[nan]
Vegetation,AnnualCrop,Camelina,Vegetation_AnnualCrop_Camelina,[544],['Leindotter'],[nan]
Vegetation,AnnualCrop,CropMix,Vegetation_AnnualCrop_CropMix,"[569, 570]","['Mischungen von Bohnen, Wicken, Erbsen, Kichererbsen und Lupinen mit Getreide oder Leindotter, mindestens 30 % Anteil Leguminosen bei der Ernte (zur Körnergewinnung)', 'Mischungen von Linsen mit Getreide oder Leindotter, mindestens 30 % Anteil Linsen bei der Ernte (zur Körnergewinnung)']","[nan, nan]"
Vegetation,AnnualCrop,EinkornWheat,Vegetation_AnnualCrop_EinkornWheat,[511],"['Emmer, Einkorn']",[nan]
Vegetation,AnnualCrop,Hemp,Vegetation_AnnualCrop_Hemp,"[535, 575, 576, 577]","['Hanf', 'Hanf zur Nutzung der Samen', 'Hanf zur Fasernutzung', 'Anderer Hanf']","['Vegetation_Field crops_BroadLeafRowCrop_Hemp', nan, nan, nan]"
Vegetation,AnnualCrop,Lentils,Vegetation_AnnualCrop_Lentils,[568],['Linsen'],[nan]
Vegetation,AnnualCrop,Lupines,Vegetation_AnnualCrop_Lupines,[538],['Lupinen'],[nan]
Vegetation,AnnualCrop,Maize,Vegetation_AnnualCrop_Maize,"[508, 519, 521]","['Körnermais', 'Saatmais (Vertragsanbau)', 'Silo- und Grünmais']","['Vegetation_Field crops_LargeGrainCereal_Maize', nan, nan]"
Vegetation,AnnualCrop,Millet,Vegetation_AnnualCrop_Millet,"[542, 578, 579]","['Hirse', 'Hirse zur Körnergewinnung', 'Hirse zur Nutzung ganze Pflanze']","['Vegetation_Field crops_LargeGrainCereal_Sorghum', nan, nan]"
Vegetation,AnnualCrop,Mustard,Vegetation_AnnualCrop_Mustard,[573],['Senf'],[nan]
Vegetation,AnnualCrop,Poppy,Vegetation_AnnualCrop_Poppy,[566],['Mohn'],[nan]
Vegetation,AnnualCrop,Potatoes,Vegetation_AnnualCrop_Potatoes,"[524, 525]","['Kartoffeln', 'Pflanzkartoffeln (Vertragsanbau)']","['Vegetation_Field crops_BroadLeafRowCrop_Potatoes', nan]"
Vegetation,AnnualCrop,ProteinPeas,Vegetation_AnnualCrop_ProteinPeas,[537],['Erbsen zur Körnergewinnung (z.B. Eiweisserbsen)'],[nan]
Vegetation,AnnualCrop,Quinoa,Vegetation_AnnualCrop_Quinoa,[574],['Quinoa'],[nan]
Vegetation,AnnualCrop,Safflower,Vegetation_AnnualCrop_Safflower,[567],['Saflor'],[nan]
Vegetation,AnnualCrop,SiloCereals,Vegetation_AnnualCrop_SiloCereals,[543],['Getreide siliert'],['Vegetation_Field crops_SmallGrainCereal_Grain']
Vegetation,AnnualCrop,Sorghum,Vegetation_AnnualCrop_Sorghum,"[549, 580, 581]","['Sorghum', 'Sorghum zur Körnergewinnung', 'Sorghum zur Nutzung ganze Pflanze']","['Vegetation_Field crops_LargeGrainCereal_Sorghum', nan, nan]"
Vegetation,AnnualCrop,Soybeans,Vegetation_AnnualCrop_Soybeans,[528],['Soja'],['Vegetation_Field crops_BroadLeafRowCrop_Soy']
Vegetation,AnnualCrop,SpecialCultureAnnual,Vegetation_AnnualCrop_SpecialCultureAnnual,"[534, 539, 546, 547, 551, 552, 553, 554, 631, 709, 711, 951]","['Lein', 'Ölkürbisse', 'Freiland-Konservengemüse', 'Wurzeln der Treibzichorie', 'Einjährige Beeren (z.B. Erdbeeren)', 'Einjährige nachwachsende Rohstoffe (Kenaf, usw.)', 'Einjährige Gewürz- und Medizinalpflanzen', 'Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen usw.)', 'Futterleguminosen für die Samenproduktion (Vertragsanbau)', 'Rhabarber', 'Pilze (Freiland)', 'Getreide in weiter Reihen']","['Vegetation_Field crops_BroadLeafRowCrop_Linen', nan, 'Vegetation_Field crops_VegetableCrop_Vegetables', nan, 'Vegetation_Orchards_OrchardCrop_Berries', nan, nan, nan, nan, nan, nan, nan]"
Vegetation,AnnualCrop,SummerBarley,Vegetation_AnnualCrop_SummerBarley,[501],['Sommergerste'],['Vegetation_Field crops_SmallGrainCereal_Barley']
Vegetation,AnnualCrop,SummerRapeseed,Vegetation_AnnualCrop_SummerRapeseed,"[526, 590]","['Sommerraps zur Speiseölgewinnung', 'Sommerraps als nachwachsender Rohstoff']","[nan, nan]"
Vegetation,AnnualCrop,SummerWheat,Vegetation_AnnualCrop_SummerWheat,[512],['Sommerweizen (ohne Futterweizen der Sortenliste swiss granum)'],[nan]
Vegetation,AnnualCrop,Sunflowers,Vegetation_AnnualCrop_Sunflowers,"[531, 592]","['Sonnenblumen zur Speiseölgewinnung', 'Sonnenblumen als nachwachsender Rohstoff']","[nan, nan]"
Vegetation,AnnualCrop,Tobacco,Vegetation_AnnualCrop_Tobacco,[541],['Tabak'],[nan]
Vegetation,AnnualCrop,Vegetables,Vegetation_AnnualCrop_Vegetables,[545],"['Einjährige Freilandgemüse, ohne Konservengemüse']",['Vegetation_Field crops_VegetableCrop_Vegetables']
Vegetation,PerennialCrop,CerealMix,Vegetation_PerennialCrop_CerealMix,"[506, 515]","['Mischel Futtergetreide', 'Mischel Brotgetreide']","[nan, nan]"
